Name,Avaliable_Online_order,Avaliable_Book_table,Rate out of 5,Votes of popularity,Phone,Location,Rest_type,Approx_cost(for two people),Approx_cost(for one people)
Smally's Resto Cafe,True,False,4.1,424,"08048149349,+917829066633",Indiranagar,Cafe,650,325.0
Gobble Up Churros Cafe,True,False,4.3,379,"+919108258223,+919611103499",Indiranagar,Dessert Parlor,400,200.0
Django,True,True,4.0,220,"+917618789640,+917618789641",Indiranagar,Quick Bites,800,400.0
Tata Cha,True,False,3.9,681,18001208242,Indiranagar,Cafe,500,250.0
Eddy's Cafe,True,False,4.1,142,+916361292968,Indiranagar,Cafe,750,375.0
Lahe Lahe Santhe,False,False,3.8,20,+919886294444,Indiranagar,Cafe,300,150.0
D'Cafe,True,False,3.8,18,"+919513343707,+917483072254",Domlur,Cafe,500,250.0
Lakeview Milkbar,False,False,2.9,544,"08025200443,+919945785031",Indiranagar,"Dessert Parlor, Cafe",600,300.0
Barista,False,False,3.6,18,08042436393,Domlur,Cafe,300,150.0
iSpice Resto Cafe,True,False,3.7,32,"+919900069111,+918908905540",Indiranagar,Quick Bites,500,250.0
Costa Coffee,False,False,3.8,211,"+917899364709,+918105082661",Indiranagar,Cafe,500,250.0
Raenss Cafe,True,False,2.4,128,"08041133234,08049594650",Indiranagar,Cafe,600,300.0
Cross Roads Cafe,False,False,3.0,59,+919036547262,Indiranagar,Cafe,500,250.0
Cafe Velvette,False,False,3.4,11,+919845286292,Domlur,"Cafe, Dessert Parlor",400,200.0
BOX8- Desi Meals,True,False,4.3,464,02233552698,Old Airport Road,"Takeaway, Delivery",500,250.0
Shanmukha,True,False,3.8,149,+918660936749,Old Airport Road,Casual Dining,800,400.0
FreshMenu,True,False,3.8,1093,08049652957,East Bangalore,Delivery,450,225.0
A 1 Pizza and Food,True,False,2.8,215,"07406949718,08043715041",Old Airport Road,Delivery,300,150.0
Chandni Chowk 2 Bangalore,True,False,4.2,252,08043722489,Jeevan Bhima Nagar,Quick Bites,400,200.0
New Krishna Sagar,True,False,3.5,35,+919845281407,Indiranagar,Quick Bites,300,150.0
XO Belgian Waffle,True,False,4.4,95,+917019299769,Indiranagar,Dessert Parlor,400,200.0
Dal Roti Sabji,True,False,4.1,86,+919945531454,Indiranagar,Quick Bites,150,75.0
Red Kitchen,True,False,3.4,154,+917892154893,Jeevan Bhima Nagar,Quick Bites,200,100.0
Gurukrupa Paratha House,True,False,3.9,644,08071967783,Old Airport Road,Quick Bites,400,200.0
Sree Spicy Hub,True,False,3.9,234,08049652135,Jeevan Bhima Nagar,Casual Dining,600,300.0
Pathaan Sir,True,False,3.3,55,08041440844,Indiranagar,Quick Bites,250,125.0
Zawaa Foods,True,False,3.4,42,+917042297799,Old Airport Road,Quick Bites,400,200.0
Bharpur Aahar,True,False,3.9,419,+916360538469,Jeevan Bhima Nagar,Quick Bites,200,100.0
Chakum Chukum Calcutta On A Roll,True,False,2.8,94,"+918041243691,+918042115536",Indiranagar,Quick Bites,400,200.0
Kabab Souq,True,False,3.8,315,+919008050021,Thippasandra,Quick Bites,400,200.0
Chowpatty,True,False,3.9,929,"+919916820043,08048908122",Indiranagar,Quick Bites,300,150.0
Midnight Mania,True,False,4.0,731,08043005560,Koramangala 6th Block,Delivery,700,350.0
Fresh Aahar,True,False,3.9,43,08049653344,Indiranagar,"Takeaway, Delivery",400,200.0
Punjabi Tandoor,True,False,3.6,251,"+918884449928,+919466423466",Kaggadasapura,Casual Dining,700,350.0
Khushi Kitchen,True,False,3.4,74,+917899081515,Thippasandra,Quick Bites,400,200.0
Chakh Le Foods,True,True,3.4,258,08049653057,Jeevan Bhima Nagar,Casual Dining,500,250.0
Behrouz Biryani,True,False,4.0,88,"+917022984978,+917022984977",Old Airport Road,Delivery,650,325.0
Sagar Deluxe,True,False,3.4,161,"+917619246476,+919964837573",Jeevan Bhima Nagar,Quick Bites,350,175.0
Tripura Express,True,False,3.0,168,"08043715041,07406949718",Old Airport Road,"Takeaway, Delivery",450,225.0
Delite Chaat House,True,False,4.0,454,"08042094289,+917406002229",Indiranagar,Quick Bites,300,150.0
FoodIshq,True,False,4.0,175,+918528490273,Kaggadasapura,Delivery,450,225.0
Corner House Ice Cream,True,False,4.7,2172,+919880846251,Indiranagar,Dessert Parlor,400,200.0
Mojo Pizza - 2X Toppings,True,False,4.2,227,02233252828,Old Airport Road,"Takeaway, Delivery",600,300.0
Zaitoon,True,True,4.3,2032,"08041676777,08041482777",Old Airport Road,Casual Dining,1000,500.0
Leon Grill,True,False,4.2,1344,"+917676100700,08042043332",Jeevan Bhima Nagar,Quick Bites,500,250.0
Kunda Biryani,True,False,3.8,198,08049653015,CV Raman Nagar,Casual Dining,800,400.0
Rajdhani Thali Restaurant,True,True,4.0,1137,"08025212517,08025212518",Indiranagar,Casual Dining,1000,500.0
Motis Kitchen,True,False,4.1,563,+919986106775,Thippasandra,Quick Bites,350,175.0
Meghana Foods,True,True,4.2,1774,"08041135050,08041757070",Indiranagar,Casual Dining,800,400.0
Paradise,True,False,4.0,3268,"+919513477571,+919886225506",Indiranagar,Casual Dining,800,400.0
Maravanthe,True,True,4.4,711,08049653410,Indiranagar,Casual Dining,1000,500.0
VSV Chettinad,True,False,3.3,73,"08042161581,+917353996688",Kaggadasapura,Casual Dining,600,300.0
Chef's Cap Chinese Cuisine Restaurant,True,False,3.9,37,+917795346972,Old Airport Road,Quick Bites,400,200.0
Hongkong Garden,True,False,3.9,310,08049652110,Kaggadasapura,Casual Dining,500,250.0
Dindigul Thalappakatti,True,False,4.2,326,"+918042297250,+918042297350",Indiranagar,Casual Dining,800,400.0
KFC,True,False,3.9,332,08033994444,Old Airport Road,Quick Bites,400,200.0
Potful,True,False,4.1,1135,08049653186,Domlur,Delivery,650,325.0
The Good Bowl,True,False,3.7,15,+917400437056,Indiranagar,"Takeaway, Delivery",500,250.0
Beijing Bites,True,False,3.2,292,"08041268088,08041268188",Jeevan Bhima Nagar,Casual Dining,850,425.0
Hyderabad Biryaani House,True,False,3.9,1626,"+919686927270,+917204826266",Old Airport Road,Casual Dining,700,350.0
Kya Khaoge,True,False,3.8,69,+918095747021,Old Airport Road,Delivery,300,150.0
Andal Mess,True,False,3.2,136,+919148186353,Indiranagar,Mess,300,150.0
Bathinda Dine,True,False,4.1,760,"+918048515558,+918296600145",Indiranagar,Casual Dining,950,475.0
B.M.W - Bhookh Mitaane Wala,True,False,3.7,510,+919035955192,Koramangala 1st Block,Delivery,500,250.0
Donne Biriyani Mane,True,False,3.8,149,08049653503,Indiranagar,Quick Bites,350,175.0
Bhookha Sher,True,False,3.2,34,+917483396948,Old Airport Road,Quick Bites,350,175.0
Green Pepper,True,False,3.9,262,"08040958587,+919538886657",Jeevan Bhima Nagar,Casual Dining,600,300.0
Punjabi's Food Corner,True,False,3.6,89,+919845061436,CV Raman Nagar,Quick Bites,250,125.0
Hungree Belly,True,True,3.9,633,"+918095666000,009880332504",Kaggadasapura,Casual Dining,800,400.0
Aathurar,True,False,3.3,584,"08041485868,08041485878",Jeevan Bhima Nagar,Casual Dining,600,300.0
Moonlight Kitchens,True,False,3.9,128,+918722426252,Old Airport Road,Delivery,400,200.0
Delhi Highway,True,True,4.4,3429,"08042111151,+918884042151",Indiranagar,Casual Dining,1500,750.0
Pot Biryani,True,False,3.9,466,"+919900025811,+919900025812",Domlur,Casual Dining,600,300.0
Asha Sweets Center,True,False,4.1,61,+919113652552,Indiranagar,Takeaway,200,100.0
Plantain Leaf,True,False,3.9,531,08049653395,Thippasandra,Casual Dining,600,300.0
Onesta,True,True,4.3,4709,"08043712857,+919071749304",Indiranagar,"Casual Dining, Cafe",600,300.0
Savoury Express,True,False,3.6,32,08049994999,Jeevan Bhima Nagar,Casual Dining,800,400.0
Sri Udupi Park,True,False,3.7,448,+919980383828,Old Airport Road,Casual Dining,300,150.0
Cheesy Juicy Burgers,True,False,3.8,85,08049652719,Indiranagar,Quick Bites,300,150.0
Namma Madurai,True,False,3.0,179,+918041755544,Kaggadasapura,Quick Bites,200,100.0
Vietnamese Kitchen,True,True,4.1,536,"08041566008,08041566009",Indiranagar,Casual Dining,800,400.0
Sri Udupi Deluxe,False,False,3.5,11,+919980596245,Marathahalli,Quick Bites,400,200.0
Brownie Heaven,True,False,4.3,132,"08043722897,+918892768815",Indiranagar,Dessert Parlor,300,150.0
Five Star Chicken,True,False,3.7,69,+918147096336,Jeevan Bhima Nagar,Quick Bites,300,150.0
Food Lover,True,False,3.7,35,"+919632774879,+919632774907",Indiranagar,Quick Bites,400,200.0
Rannaghar,True,False,3.9,144,+918951277661,Jeevan Bhima Nagar,Casual Dining,600,300.0
Night Food Delivery,True,False,2.9,24,+917406385033,Indiranagar,Delivery,500,250.0
Pizza Hut,True,False,3.7,835,"08039883988,08025260999",Indiranagar,Casual Dining,750,375.0
PurpleBasil.in,True,False,4.4,460,+917899806600,Indiranagar,Delivery,500,250.0
The Biryanis,True,False,3.8,427,"08025202333,+919611121212",Jeevan Bhima Nagar,Casual Dining,500,250.0
Kokomo,True,False,4.0,196,"+919148164362,+918884144911",Koramangala 6th Block,Delivery,500,250.0
The Fatty Bao - Asian Gastro Bar,True,False,4.6,3818,08049652429,Indiranagar,"Casual Dining, Bar",1200,600.0
Coast,True,False,3.2,68,+919164200018,Jeevan Bhima Nagar,Casual Dining,750,375.0
PreRit's Food Factory,True,False,3.7,74,"+919620909029,+919611817196",Indiranagar,Delivery,300,150.0
UBQ by Barbeque Nation,True,False,3.6,17,+919071788850,Indiranagar,Delivery,450,225.0
Thai Chy,True,True,4.3,451,08045128670,Indiranagar,Casual Dining,1200,600.0
HomeDeli Kitchen,True,False,3.0,401,+919164200018,Jeevan Bhima Nagar,Unknown,600,300.0
Bombay Sandwich Company,True,False,3.0,40,"08049595676,+919986507832",Indiranagar,Delivery,400,200.0
Momo Rice Noodles,True,False,3.2,87,"+919606587913,+919538848774",Domlur,Quick Bites,600,300.0
Nando's,True,False,4.3,1235,08048538989,Indiranagar,Casual Dining,1200,600.0
Indiana Burgers,True,False,3.2,50,+918197170008,Domlur,Delivery,300,150.0
Lepcha Foods & Refreshment,True,False,3.4,23,+919620114724,Thippasandra,"Takeaway, Delivery",350,175.0
The Pizza Bakery,True,True,4.8,1781,08049652602,Indiranagar,Casual Dining,1200,600.0
Smoke House Deli,True,True,4.6,5446,"08025200898,08025200899",Indiranagar,Casual Dining,1600,800.0
Biryani Trip,True,False,4.0,64,"+919945586781,+917406768528",Indiranagar,Delivery,400,200.0
Srinidhi Sagar,True,False,3.9,164,08025219337,Old Airport Road,Quick Bites,250,125.0
Healthie,True,False,3.9,194,"08049595676,+919986507832",Indiranagar,Delivery,600,300.0
Samosa Singh,True,False,3.7,47,08049652896,Thippasandra,Delivery,150,75.0
Andhra Ruchulu,True,False,4.0,51,08043741913,Old Airport Road,Quick Bites,400,200.0
Andhra Mess,True,False,3.2,129,+919916243555,Domlur,Mess,400,200.0
Mota Bawarchi,True,False,3.8,57,+919380109284,Indiranagar,"Takeaway, Delivery",500,250.0
Lassi Shop,True,False,4.0,215,"+917349535552,+919535066411",Jeevan Bhima Nagar,Beverage Shop,100,50.0
Bharanis,False,False,3.5,18,"+919008576959,+919591066595",Domlur,Casual Dining,600,300.0
Suryawanshi,True,False,4.1,453,+919036528709,Indiranagar,Casual Dining,700,350.0
Delicacy,True,False,3.9,652,"08025299333,08042005566",Jeevan Bhima Nagar,Casual Dining,500,250.0
The Waffles Hut,True,False,4.0,42,+918042023987,Indiranagar,Dessert Parlor,400,200.0
Subway,True,False,3.6,108,08040951122,CV Raman Nagar,Quick Bites,500,250.0
Just Khao Suey,True,False,4.0,183,+919606097395,Indiranagar,Casual Dining,600,300.0
Faasos,True,False,4.1,112,+917700020020,Thippasandra,Quick Bites,500,250.0
Woodfire Pizza,True,False,3.3,32,+918884999676,Thippasandra,Delivery,400,200.0
Anand Sweets and Savouries,True,False,4.0,262,08041256466,Old Airport Road,Sweet Shop,400,200.0
Annabell,True,False,4.0,269,"+917760800004,+919886142684",Indiranagar,"Quick Bites, Beverage Shop",800,400.0
Salt Mango Tree,True,True,4.2,255,"+919686365602,+919886037106",Indiranagar,Casual Dining,800,400.0
Burma Burma,True,False,4.7,1674,"08043008120,08043008130",Indiranagar,Casual Dining,1500,750.0
Desi Chinese kitchen,True,False,4.0,27,+919008135771,Indiranagar,Casual Dining,700,350.0
Mani's Dum Biryani,True,False,4.0,690,08060001600,Jeevan Bhima Nagar,Casual Dining,750,375.0
Keto Kitchen,True,False,3.1,22,08045128817,Indiranagar,"Takeaway, Delivery",500,250.0
Crunch Pizzas - Express Delivery,True,False,3.0,239,"+918310664961,+919663305078",Indiranagar,Delivery,500,250.0
Assi Tussi Lassi,True,False,3.7,27,+919066331614,Ejipura,Beverage Shop,200,100.0
Snacks Joint,True,False,3.7,186,+918861496927,Jeevan Bhima Nagar,Quick Bites,150,75.0
AutoExpress - Hot Dogs,True,False,3.7,19,+918496975000,Indiranagar,"Takeaway, Delivery",300,150.0
Le Casse CroÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ»te,True,False,4.4,593,"+919901428604,+917760253076",Thippasandra,Quick Bites,800,400.0
Monkey Bar,True,False,4.3,3888,08049653039,Indiranagar,Pub,1400,700.0
Thunder Fried Chicken,True,False,3.6,181,"08022907009,+919845319888",Jeevan Bhima Nagar,Quick Bites,350,175.0
Cita Pani,True,True,3.8,55,08049653502,Indiranagar,Quick Bites,350,175.0
Glen's Bakehouse,True,False,4.3,5352,"08041228773,08041616477",Indiranagar,"Bakery, Cafe",600,300.0
Sweet Truth,True,False,3.9,29,+917710055553,Thippasandra,Bakery,500,250.0
Roll Er Dokaan,True,False,3.9,139,+919632946070,Jeevan Bhima Nagar,Quick Bites,300,150.0
Taste of Assam,True,False,3.3,26,+919886941271,Koramangala 4th Block,Quick Bites,400,200.0
Wow Paratha,True,False,3.9,38,+919980100040,Jeevan Bhima Nagar,Delivery,400,200.0
Stoner,True,False,4.4,2699,08049652129,Indiranagar,Dessert Parlor,550,275.0
No More Hungry,True,False,3.3,214,+919980100040,Jeevan Bhima Nagar,"Takeaway, Delivery",450,225.0
Dhyaana,True,False,4.3,156,+919900029648,Indiranagar,Cafe,600,300.0
Frozen Bottle,True,False,4.1,174,08048658502,Indiranagar,Beverage Shop,400,200.0
Roll Over,True,False,4.2,217,+917892989820,Indiranagar,Dessert Parlor,500,250.0
Cafe Grill,True,False,4.1,505,"08040960522,+918553114422",Jeevan Bhima Nagar,Quick Bites,300,150.0
North Indies,True,False,3.8,27,+918762564267,Kaggadasapura,Quick Bites,450,225.0
Just Eat,True,False,3.4,18,"+919632774907,+919632774879",Indiranagar,Quick Bites,500,250.0
Taiki,True,True,4.4,139,08049652196,Indiranagar,Casual Dining,1200,600.0
Bombay Brasserie,True,False,4.4,1908,"+918884400700,08041471004",Indiranagar,Casual Dining,1800,900.0
Ovenstory Pizza,True,False,4.0,108,"18002700913,+917022275389",Old Airport Road,Delivery,800,400.0
Treat,True,False,3.9,553,"08025253902,08025282137",Indiranagar,Casual Dining,800,400.0
Jonah's,True,True,4.1,1856,"+917349671711,+917349671712",Indiranagar,"Casual Dining, Bar",1100,550.0
Bob's Restaurant,True,False,4.0,331,"08041161228,+917349084147",Jeevan Bhima Nagar,Quick Bites,500,250.0
Hotel Karavali,True,False,3.7,264,"+919739116199,+918197866060",Jeevan Bhima Nagar,Quick Bites,450,225.0
Imli,True,False,3.8,1850,08045128802,Indiranagar,Casual Dining,800,400.0
Sabari Juice Junction,True,False,4.1,132,08025250089,Jeevan Bhima Nagar,Beverage Shop,250,125.0
Mamagoto,True,True,4.4,2579,"08040937237,+918884498760",Indiranagar,Casual Dining,1600,800.0
One Chu Restaurant,True,False,3.9,327,"+919738450792,08025238800",Old Airport Road,Casual Dining,600,300.0
Clean Bowled,True,False,3.4,6,"+918048143038,+917730004412",Indiranagar,"Takeaway, Delivery",300,150.0
Grill Hut,True,False,3.6,84,"+919902972764,+917795209904",Kaggadasapura,Quick Bites,350,175.0
Malabar,True,False,3.0,162,"08025290660,+919844505800",Jeevan Bhima Nagar,Quick Bites,400,200.0
Mood For Food,True,False,4.0,151,+918217834022,Jeevan Bhima Nagar,Casual Dining,800,400.0
New Tandoor,True,False,3.5,293,"08065749410,08025244044",CV Raman Nagar,Casual Dining,550,275.0
Taza Tawa,True,False,3.8,170,+917090098900,Jeevan Bhima Nagar,Quick Bites,550,275.0
Vimmi's Cafe,True,False,2.7,30,"+918431584809,+918050008231",Indiranagar,"Takeaway, Delivery",500,250.0
Manju's Kitchen,True,False,3.3,14,"+916362835588,+916362937794",Indiranagar,Quick Bites,300,150.0
Biggies Burger 'n' More,True,False,4.3,195,"+919986769000,+919986123444",Indiranagar,Cafe,400,200.0
Raat Ki Rani,True,False,4.3,267,"+917406700070,+919916272700",Jeevan Bhima Nagar,Delivery,400,200.0
Nizaam's Kaati Rolls & Kebabs,True,False,3.7,112,"08025210441,+919343661777",Jeevan Bhima Nagar,Quick Bites,450,225.0
Venus Biryani,True,False,3.1,149,"+919060123292,+919880349295",Domlur,Quick Bites,200,100.0
Ibaco,True,False,4.0,292,+919686388388,Indiranagar,Dessert Parlor,300,150.0
Kobe Sizzlers,True,True,4.1,1503,+918050001660,Indiranagar,Casual Dining,1500,750.0
Mother's Meal,True,False,3.8,134,+919620155240,CV Raman Nagar,Quick Bites,200,100.0
Just Kulfi,True,False,3.5,8,08041513434,Jeevan Bhima Nagar,Dessert Parlor,400,200.0
The Yogisthaan Cafe,True,False,4.2,1216,"+918040914888,+917411400888",Indiranagar,Cafe,600,300.0
Peace Restaurant,True,False,2.7,125,08043714742,Indiranagar,Quick Bites,500,250.0
Red Chilliez,True,False,3.5,217,"+919164666000,+919844679117",Thippasandra,Casual Dining,650,325.0
Ambur Star Briyani,True,False,3.8,26,+918043747373,Indiranagar,Casual Dining,500,250.0
Inhouse Burger,True,False,3.3,11,+919113257816,CV Raman Nagar,Quick Bites,500,250.0
GMT - Gelateria Montecatini Terme,True,False,4.4,282,"+917406210205,+917619440425",Indiranagar,Dessert Parlor,300,150.0
Srinathji's,True,True,3.6,598,"08041126155,+918197708800",Indiranagar,Casual Dining,800,400.0
Le Gateau - The Cake Shop,True,False,4.4,542,"+917760361067,+919902616687",Old Airport Road,Delivery,600,300.0
Gooey & Fluffy,True,False,3.9,90,"+917338091095,+918147759894",Thippasandra,Delivery,200,100.0
Domino's Pizza,True,False,3.0,7,08046832800,CV Raman Nagar,Quick Bites,400,200.0
Tayabbs,True,False,4.0,739,+917829811234,Indiranagar,Quick Bites,500,250.0
Kalavara,False,False,3.4,14,+919071283289,CV Raman Nagar,Quick Bites,150,75.0
Rotti Mane,True,False,3.6,18,+918105590665,Thippasandra,Quick Bites,200,100.0
A2B - Adyar Ananda Bhavan,True,False,3.0,570,"18001036363,+917338816655",Indiranagar,Casual Dining,400,200.0
Sethji Home Made Food,True,False,3.5,229,+918025256189,Indiranagar,Quick Bites,350,175.0
Rahhams,True,False,2.8,420,"08025268700,08025269700",Old Airport Road,Casual Dining,700,350.0
The Ganache Factory,True,False,4.1,42,+919632259860,Domlur,"Dessert Parlor, Bakery",400,200.0
Bat Chef,True,False,2.6,27,+917406385033,Indiranagar,Quick Bites,500,250.0
Kolkata Rolls & Hot Dum Biriyani On Dial,True,False,3.5,22,+919886177071,Indiranagar,Quick Bites,200,100.0
Biriyani Zone,True,False,3.7,22,"+919632846622,+918095504411",CV Raman Nagar,Casual Dining,800,400.0
The Spicy Kitchen,True,False,3.1,17,+919740367000,Thippasandra,Quick Bites,300,150.0
Kitchen of Joy,True,False,4.2,580,+919900962765,Indiranagar,Quick Bites,400,200.0
Supreme Biryani,True,False,3.4,12,+919538103747,East Bangalore,Delivery,500,250.0
Bekal,True,False,4.0,282,"08025275891,+919739067955",Jeevan Bhima Nagar,Casual Dining,700,350.0
Singh Saab,True,False,3.7,244,"+919686193958,+919686193957",Indiranagar,Casual Dining,800,400.0
Shaap,True,False,4.0,241,08049598061,Indiranagar,Casual Dining,500,250.0
Snack'Ups,True,False,3.5,62,+918892927814,Thippasandra,Quick Bites,250,125.0
Fruit Face,True,False,3.7,24,"+919972222917,+919148882441",Indiranagar,"Quick Bites, Beverage Shop",300,150.0
Laddoos,True,False,2.9,228,08041518859,Jeevan Bhima Nagar,"Quick Bites, Dessert Parlor",250,125.0
Cake Palace,True,False,3.4,12,+919972743102,Indiranagar,Dessert Parlor,100,50.0
McDonald's,True,False,3.0,167,"+918928304081,+919620206961",Old Airport Road,Quick Bites,500,250.0
Kulcha Kulture,True,False,3.5,14,"+919741473014,+918041137235",Indiranagar,Delivery,400,200.0
Kanti Sweets,True,False,4.0,125,"08041159163,08022960604",Indiranagar,"Dessert Parlor, Quick Bites",400,200.0
Burger Bite House,True,False,3.1,4,"+919591922994,+918041600292",Old Airport Road,Quick Bites,500,250.0
Swaad,True,False,3.2,30,"+918050796521,+917760382041",Jeevan Bhima Nagar,Quick Bites,200,100.0
The Kitchen Chef,True,False,3.0,98,+917406385033,Old Airport Road,Delivery,500,250.0
Wangs Kitchen,True,False,2.5,56,"08039253925,+918970783736",Indiranagar,"Takeaway, Delivery",700,350.0
Copper Chimney,True,True,4.2,97,08049652172,Indiranagar,Casual Dining,1200,600.0
S.W.A.T Food Truck,True,False,3.7,217,+919739725171,East Bangalore,Food Truck,450,225.0
Shake It Off,True,False,4.2,164,"+918138099006,+917829054321",Indiranagar,Quick Bites,600,300.0
Mad Over Biryani,True,False,3.5,10,"+919036098911,08041232111",Indiranagar,Quick Bites,600,300.0
Premium Bombay Kulfi,True,False,3.5,11,+919731155079,Indiranagar,Kiosk,100,50.0
Kaayal,True,False,3.2,254,"08025205578,+919886589412",Jeevan Bhima Nagar,Casual Dining,500,250.0
Kisna Cafe,True,False,3.6,12,+919845637357,Old Airport Road,Quick Bites,300,150.0
Kartik's Mithai Shoppe,True,False,4.1,112,08041264166,Indiranagar,"Quick Bites, Sweet Shop",150,75.0
Spicy Corner,True,False,3.9,190,+917017586637,Jeevan Bhima Nagar,Quick Bites,250,125.0
Spices,True,False,3.2,6,"+919148955589,+919538909192",CV Raman Nagar,Quick Bites,450,225.0
Johny's Kitchen,True,False,4.1,60,+919848677702,Jeevan Bhima Nagar,Quick Bites,300,150.0
Cake Dilim,True,False,3.3,8,"+916361487609,+919535677777",Kaggadasapura,"Bakery, Quick Bites",400,200.0
Meat and eat,True,False,3.2,14,+919538484555,Kaggadasapura,Quick Bites,500,250.0
North Indian Tadka,False,False,3.0,6,"+918792657020,+917019958282",Ejipura,Quick Bites,200,100.0
Green G Juice Bar,True,False,3.5,39,"08041162911,+919900515289",Indiranagar,Beverage Shop,200,100.0
Cafe Soy,True,False,3.8,48,"+919741473014,+918041137253",Indiranagar,"Takeaway, Delivery",250,125.0
Donne Biriyani Mane,True,False,3.8,162,+919740901996,Jeevan Bhima Nagar,Quick Bites,400,200.0
Brea,True,False,3.4,34,08048650463,Jeevan Bhima Nagar,Bakery,300,150.0
Cafe Terra,True,False,4.2,402,08041631800,Indiranagar,Cafe,500,250.0
Desi Bytes,True,False,3.1,96,"+919741526540,+917406399000",Old Airport Road,Quick Bites,450,225.0
Drunken Monkey,True,False,3.9,210,+919108880532,Indiranagar,"Beverage Shop, Quick Bites",500,250.0
Sai Donne Biryani,True,False,3.3,9,"+916361957441,+919620209486",Indiranagar,Quick Bites,300,150.0
Dashabhuja Kitchen & Catering,True,False,3.0,12,"+917259594637,+919964353762",Thippasandra,"Takeaway, Delivery",400,200.0
Kadamba Foodline,False,False,3.7,33,+919060131607,Ulsoor,Quick Bites,400,200.0
Big Mummy,True,False,4.0,223,+917829778797,Indiranagar,Quick Bites,400,200.0
Rajan's Cafe,False,False,2.8,79,08041418080,Domlur,Quick Bites,300,150.0
Status,True,False,3.6,120,"08025229035,+919845888813",Old Airport Road,Casual Dining,550,275.0
Chetty's Coffee,True,False,3.9,45,+917022324118,Indiranagar,Quick Bites,150,75.0
The Table,True,False,3.8,42,+918939076600,Indiranagar,Bakery,400,200.0
Kevins Kitchen,True,False,3.8,105,+919901170611,Koramangala 6th Block,Quick Bites,400,200.0
Hotel Salala,False,False,3.8,73,"+919036263454,+919036264717",Old Airport Road,Quick Bites,400,200.0
Saka Eatery Outlet,True,False,3.7,42,+919448052771,Indiranagar,Quick Bites,150,75.0
CakeBerries,False,False,3.7,15,+919980887777,Old Airport Road,Bakery,200,100.0
The Kitchen Bandit,True,False,3.2,44,+917338312145,Koramangala 2nd Block,Delivery,350,175.0
Viceroy's Sarathi,True,False,3.8,139,"08025256162,+919449890148",Indiranagar,"Casual Dining, Bar",750,375.0
Chef Fast Food,True,False,3.2,27,+917406385033,Old Airport Road,Quick Bites,300,150.0
Punjab Bistro,True,False,3.7,16,+919635340944,CV Raman Nagar,Food Court,300,150.0
Amar Kolkata,True,False,3.2,6,+918147283530,Old Airport Road,Quick Bites,300,150.0
Little Orissa Restaurant,True,False,3.9,350,+919740243144,Indiranagar,Casual Dining,450,225.0
Bangalore Durbar Fast Food,True,False,3.6,21,"+918147112950,+919663895441",Thippasandra,"Takeaway, Delivery",600,300.0
Ramji Chaiwale,True,False,3.9,124,08049653336,Old Airport Road,Quick Bites,250,125.0
Waah Chef,False,False,3.3,4,+919008667000,CV Raman Nagar,Food Court,300,150.0
Nature's Restaurant,False,False,3.3,4,+919886555747,Domlur,Quick Bites,300,150.0
Chatora Singh,True,False,3.9,44,+917676016191,Old Airport Road,Quick Bites,200,100.0
Bun Maska Chai,True,False,3.9,122,"+919932600977,+919900199185",Jeevan Bhima Nagar,Quick Bites,250,125.0
Sweet Chariot,True,False,3.5,25,08041611813,Jeevan Bhima Nagar,Dessert Parlor,500,250.0
Fresh Bowl,False,False,3.3,4,+917406385033,Old Airport Road,Quick Bites,400,200.0
Loyal Food,True,False,3.2,17,+919986266671,Indiranagar,Quick Bites,500,250.0
Ginseng - Royal Orchid Hotel,False,True,3.9,172,"+919686611406,+919902954007",Old Airport Road,Fine Dining,1900,950.0
New Royal Paris Restaurant,False,False,3.4,14,"08041227782,+919845132648",Old Airport Road,Quick Bites,300,150.0
Nandini Andhra Style Mess,False,False,3.4,28,"+919886012977,+917829799616",Old Airport Road,Quick Bites,350,175.0
Raaga,True,True,3.8,300,08049653355,Indiranagar,Casual Dining,1200,600.0
Suvaai Restaurant,True,False,3.3,11,"+918618343093,+919448558083",Indiranagar,Quick Bites,100,50.0
Shree Durga,False,False,3.2,7,"08040938060,+917259312289",Old Airport Road,Quick Bites,500,250.0
Nandanavanam,False,False,3.3,6,+919742700996,Old Airport Road,Quick Bites,300,150.0
Juicemaker,False,False,3.4,32,08043709482,Old Airport Road,"Takeaway, Delivery",400,200.0
Samosa Party,True,False,4.1,374,"08048513616,+919740785816",Jeevan Bhima Nagar,Quick Bites,150,75.0
BabaYaga's,False,True,4.0,242,08043756555,Indiranagar,"Bar, Casual Dining",1500,750.0
Hello Resto-Pub,True,True,4.1,348,+918792929000,Old Airport Road,"Casual Dining, Pub",900,450.0
Mac Fast Food,False,False,2.7,50,"08025273292,+919741357705",Old Airport Road,Quick Bites,400,200.0
NH8,True,True,4.1,2099,"08042076575,+919620771098",Indiranagar,Casual Dining,800,400.0
Chungs Pavilion,True,False,3.9,249,"08025254142,08025285403",Indiranagar,Casual Dining,700,350.0
FTB Restaurant,True,False,3.6,19,+919663895441,Thippasandra,"Takeaway, Delivery",500,250.0
The Teal Door Cafe,True,False,4.2,1920,08049653146,Indiranagar,Cafe,800,400.0
Grow Fit,True,False,3.9,113,+919493484653,Indiranagar,Delivery,500,250.0
